"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.119107717E1,6.507023667E1,2.550337333E1,1.091489883E1,1.287320256E0,5.575000000E1,1.500000000E0,1.150000000E1
9.219107717E1,6.507024833E1,2.550339000E1,1.121489356E1,1.292982221E0,4.536000061E1,1.500000000E0,1.130000019E1
9.319107717E1,6.507025833E1,2.550341000E1,1.131488864E1,1.276511073E0,4.545999908E1,1.500000000E0,1.119999981E1
9.419107717E1,6.507027000E1,2.550342667E1,1.161488337E1,1.284746647E0,3.518999863E1,1.500000000E0,1.139999962E1
9.519107717E1,6.507028000E1,2.550344000E1,1.201487892E1,1.295041084E0,3.042000008E1,1.500000000E0,1.119999981E1
9.619107717E1,6.507029333E1,2.550345500E1,1.231487318E1,1.302761912E0,3.420000076E1,1.500000000E0,1.130000019E1
9.719107717E1,6.507030333E1,2.550347167E1,1.281486849E1,1.306365013E0,3.515999985E1,1.500000000E0,1.150000000E1
9.819107717E1,6.507031333E1,2.550349167E1,1.301486357E1,1.313571095E0,4.902999878E1,1.500000000E0,1.169999981E1
9.919107717E1,6.507032167E1,2.550351167E1,1.321485924E1,1.327983379E0,3.881000137E1,1.399999976E0,1.160000038E1
1.001910772E2,6.507033167E1,2.550353167E1,1.371485432E1,1.353719473E0,3.786999893E1,1.500000000E0,1.160000038E1
1.011910772E2,6.507033833E1,2.550355333E1,1.431485046E1,1.351145864E0,3.044000053E1,1.500000000E0,1.119999981E1
1.021910772E2,6.507034833E1,2.550356833E1,1.491484589E1,1.336733580E0,3.427000046E1,1.500000000E0,1.119999981E1
1.031910772E2,6.507035833E1,2.550358500E1,1.531484121E1,1.348057508E0,3.747999954E1,1.500000000E0,1.130000019E1
1.041910772E2,6.507036833E1,2.550360500E1,1.571483629E1,1.336218834E0,3.536999893E1,1.500000000E0,1.139999962E1
1.051910772E2,6.507037500E1,2.550362500E1,1.611483255E1,1.320777178E0,3.586000061E1,1.500000000E0,1.130000019E1
1.061910772E2,6.507038333E1,2.550364167E1,1.611482845E1,1.326953888E0,3.431999969E1,1.399999976E0,1.150000000E1
1.071910772E2,6.507039333E1,2.550365333E1,1.591482412E1,1.339821935E0,3.524000168E1,1.500000000E0,1.130000019E1
1.081910772E2,6.507040500E1,2.550366833E1,1.591481897E1,1.369161129E0,3.026000023E1,1.600000024E0,1.110000038E1
1.091910772E2,6.507041333E1,2.550368000E1,1.601481522E1,1.365558028E0,3.070999908E1,1.600000024E0,1.089999962E1
1.101910772E2,6.507042167E1,2.550369333E1,1.611481136E1,1.318203568E0,3.404999924E1,1.700000048E0,1.080000019E1
1.111910772E2,6.507042667E1,2.550371000E1,1.651480844E1,1.293496966E0,3.838000107E1,1.600000024E0,1.089999962E1
1.121910772E2,6.507043000E1,2.550373333E1,1.711480563E1,1.271878600E0,4.306999969E1,1.600000024E0,1.100000000E1
